flye,hybridspades,metaflye_nextpolish,metamdbg,metamdbg_nextpolish,myloasm,myloasm_nextpolish,opera_ms
Roseburia rectibacter,Adlercreutzia equolifaciens,CAG-269 sp001916035,COE1 sp001916965,CAG-115 sp003531585,Pilosibacter sp900066055,Eubacterium_B sp938049335,Alistipes putredinis
CAG-269 sp000437215,CAG-269 sp001916035,Anaerotardibacter sp000435475,Muricoprocola aceti,Coprococcus sp000433075,Eubacterium_I ramulus,CAG-269 sp001916035,COE1 sp001916965
Coprococcus aceti,Anaerotardibacter sp000435475,Hominimerdicola aceti,Lachnospira sp000437735,Prevotella copri_A,CAG-269 sp000437215,Anaerotardibacter sp000435475,Muricoprocola aceti
Oliverpabstia intestinalis,Hominimerdicola aceti,Parabacteroides merdae,Butyribacter hominis,Adlercreutzia equolifaciens,Coprococcus aceti,Hominimerdicola aceti,Hominibacterium hominis
CAG-245 sp000435175,Parabacteroides merdae,Escherichia coli,Faecalibacterium longum,Collinsella sp027671585,CAG-245 sp000435175,Parabacteroides merdae,Lachnospira sp000437735
Mediterraneibacter lactaris,Escherichia coli,Bacteroides cellulosilyticus,Dorea_D hominis,CAG-269 sp001916035,Gemmiger sp900539695,Escherichia coli,Dorea_D hominis
Blautia_A acetigignens,Bacteroides cellulosilyticus,CAG-433 sp000433675,Prevotella rara,Anaerotardibacter sp000435475,Phascolarctobacterium faecium,Apopatocola sp003522945,Butyribacter hominis
Otoolea sp000435655,Alistipes putredinis,Alistipes putredinis,Lachnospira eligens_A,Hominimerdicola aceti,CAG-882 sp900545175,CAG-433 sp000433675,Faecalibacterium longum
Gemmiger sp900539695,Vescimonas cirricatena,Vescimonas cirricatena,Coprococcus_A catus,Parabacteroides merdae,Eubacterium_F sp003491505,Vescimonas cirricatena,Prevotella rara
Evtepia sp004556345,COE1 sp001916965,COE1 sp001916965,Faecalibacterium duncaniae,Escherichia coli,Jutongia sp003524945,Alistipes putredinis,Lachnospira eligens_A
Phascolarctobacterium faecium,Lachnospira sp000437735,Faecalibacterium prausnitzii_I,Lachnospira sp000436535,Bacteroides cellulosilyticus,CAG-492 sp000434335,Bacteroides cellulosilyticus,Coprococcus_A catus
