sample,bacteria,without_pretreatment_abundance,with_pretreatment_abundance
942,CAG-115 sp003531585,0,0.0003467239112869
942,Veillonella sp934202095,0,0.0003467239112869
942,Enterocloster aldenensis,0,0.0003467239112869
942,Ruminococcus_C sp000433635,0,0.0003437089207539
942,Granulicatella sp963551375,0,0.000340693930221
942,CAG-882 sp900545175,0,0.0003286339680893
942,Lancefieldella sp024691995,0,0.0003256189775564
942,Oliverpabstia tarda,0,0.0003256189775564
942,Enterocloster citroniae,0,0.0003256189775564
942,Streptococcus gordonii,0,0.0003256189775564
942,Veillonella tobetsuensis,0,0.0003195889964905
942,Prevotella copri_R,0,0.0003195889964905
942,Streptococcus sp002871495,0,0.0003195889964905
942,Veillonella parvula_I,0,0.0003165740059576
942,Collinsella sp905214285,0,0.0003014990532929
942,Turicibacter bilis,0,0.0003014990532929
942,Streptococcus dentisani,0,0.0003014990532929
942,Haemophilus_D sp905371285,0,0.00029848406276
942,Eubacterium_I ramulus,0,0.0002954690722271
942,Pauljensenia sp000308055,0,0.0002924540816941
942,Streptococcus sp013394695,0,0.0002924540816941
942,Lancefieldella sp000565075,0,0.0002894390911612
942,Anaerotardibacter sp000435475,0,0.0002894390911612
942,Bifidobacterium dentium,0,0.0002894390911612
942,Nanosynbacter sp900556355,0,0.0002894390911612
942,Streptococcus pseudopneumoniae_P,0,0.0002834091100953
942,Streptococcus constellatus,0,0.0002834091100953
942,Blautia_A sp900120195,0,0.0002803941195624
942,Gemmiger sp900540595,0,0.0002773791290295
942,Bulleidia sp015256775,0,0.0002743641384966
942,Lawsonibacter sp900066825,0,0.0002623041763648
942,Merdimmobilis hominis,0,0.0002623041763648
942,Rothia sp937935205,0,0.0002592891858319
942,Streptococcus mitis_CT,0,0.000253259204766
942,Granulicatella sp015264955,0,0.000253259204766
942,CAG-245 sp000434195,0,0.0002502442142331
942,Adlercreutzia equolifaciens,0,0.0002502442142331
942,Catenibacillus sp900553975,0,0.0002472292237002
942,Gemella haemolysans_B,0,0.0002442142331673
942,Streptococcus timonensis,0,0.0002442142331673
942,F0428 sp003043955,0,0.0002442142331673
942,Catenibacterium mitsuokai,0,0.0002442142331673
942,Lachnospira sp900551945,0,0.0002442142331673
942,Rothia aeria,0,0.0002442142331673
942,Collinsella sp027660625,0,0.0002411992426343
942,Butyricicoccus sp900547195,0,0.0002411992426343
942,Dorea_A amylophila,0,0.0002381842521014
942,Veillonella dispar_B,0,0.0002381842521014
942,Haemophilus_D sp014931275,0,0.0002351692615685
942,Butyribacter hominis,0,0.0002321542710355
942,Streptococcus vulneris,0,0.0002321542710355
942,Prevotella copri_O,0,0.0002321542710355
942,Prevotella sp022741625,0,0.0002291392805026
942,CAG-269 sp003525075,0,0.0002291392805026
942,Rothia sp001808955,0,0.0002291392805026
942,Bacteroides fragilis,0,0.0002261242899697
942,Eubacterium_U album,0,0.0002261242899697
942,Streptococcus oralis_CU,0,0.0002261242899697
942,Agathobaculum ammoniilyticum,0,0.0002261242899697
942,Prevotella copri_G,0,0.0002200943089038
942,Coprococcus sp000433075,0,0.0002200943089038
942,Bulleidia sp015256455,0,0.0002170793183709
942,Streptococcus sp036663675,0,0.000214064327838
942,Scatomonas hejianensis,0,0.000214064327838
942,Granulicatella sp041433555,0,0.000214064327838
942,Oliverpabstia faecicola,0,0.000211049337305
942,UBA1234 sp900765095,0,0.0002080343467721
942,Collinsella sp905214905,0,0.0002080343467721
942,Haemophilus_D parainfluenzae_M,0,0.0001989893751733
942,Prevotella copri_J,0,0.0001989893751733
942,Macrococcoides caseolyticum,0,0.0001989893751733
942,Pseudobutyricicoccus sp003477405,0,0.0001989893751733
942,Streptococcus sp013277555,0,0.0001989893751733
942,Prevotella sp002265625,0,0.0001959743846404
942,Butyricimonas hominis,0,0.0001929593941075
942,Lactococcus cremoris,0,0.0001929593941075
942,Dialister sp022722495,0,0.0001929593941075
942,Streptococcus mitis,0,0.0001899444035745
942,Lachnospira sp900545725,0,0.0001899444035745
942,Oribacterium sinus,0,0.0001899444035745
942,Streptococcus cristatus,0,0.0001899444035745
942,Granulicatella sp001071995,0,0.0001899444035745
942,Streptococcus infantarius,0,0.0001869294130416
942,Fusobacterium pseudoperiodonticum,0,0.0001839144225087
942,Streptococcus parasanguinis_K,0,0.0001839144225087
942,Eubacterium_B infirmum,0,0.0001839144225087
942,Enterobacter roggenkampii,0,0.0001808994319757
