metaflye_2_8_3_contamination,metaflye_2_8_3_sr_contamination,metaflye_2_9_6_contamination,metaflye_2_9_6_sr_contamination,metaMDBG_contamination,metaMDBG_sr_contamination,myloasm_contamination,myloasm_sr_contamination,opera_ms_contamination,raven_contamination,raven_sr_contamination,hybridspades_contamination
0.46,0.0,0.12,0.14,6.45,0.44,1.07,0.79,3.81,7.38,3.17,2.12
3.92,6.94,0.57,5.01,2.92,2.3,6.39,4.01,0.77,2.49,4.14,0.44
3.49,2.57,7.09,2.45,6.36,0.73,7.59,7.15,0.4,6.38,7.01,0.27
5.26,5.76,4.96,6.15,2.56,1.78,7.01,0.14,2.09,3.97,6.62,3.58
3.49,4.78,1.7,2.48,3.65,9.37,4.48,2.22,1.68,6.26,8.29,0.46
0.0,1.94,1.47,0.89,8.47,0.79,4.92,2.31,2.53,7.53,0.04,0.32
8.94,2.06,5.0,3.3,9.79,0.05,4.78,3.94,2.76,3.95,1.49,0.5
0.79,6.42,6.1,1.13,1.83,0.48,3.83,0.58,0.79,4.83,2.25,7.06
4.93,2.8,0.05,0.43,5.28,1.07,9.54,4.24,0.02,6.99,7.6,1.35
2.76,1.86,8.23,7.04,1.14,0.24,3.54,5.9,0.17,5.31,3.53,0.21
0.09,0.26,3.24,0.77,1.41,2.05,1.24,0.33,0.86,4.63,0.12,4.55
0.23,0.0,4.43,0.6,0.04,2.55,2.47,3.39,0.11,8.04,0.65,4.18
5.82,1.05,0.23,3.97,0.4,2.88,0.22,3.93,0.06,1.78,1.42,3.6
4.39,1.16,5.69,1.91,6.99,0.07,5.25,0.31,1.26,7.18,5.8,1.89
0.29,0.69,0.09,4.23,2.94,0.82,7.04,2.56,0.59,9.04,0.2,6.07
6.86,0.08,5.2,2.06,2.35,5.42,6.86,5.56,2.97,5.2,2.5,1.52
6.73,0.93,0.16,8.45,4.22,0.09,0.71,6.11,1.85,4.81,8.32,0.48
0.48,0.02,2.81,4.12,4.87,0.01,1.74,0.58,0.9,5.79,8.52,1.1
0.41,3.37,3.2,3.09,4.1,3.27,5.06,2.5,4.2,8.79,1.52,0.48
1.58,0.63,2.19,7.48,5.24,0.36,4.44,6.09,6.84,5.88,2.07,0.67
1.23,0.08,4.41,5.88,1.04,0.29,3.02,0.31,7.55,4.06,7.74,5.22
